c_prozedur_code;c_prozedur_katalog
1-481.6;OPS 2014
1-481.7;OPS 2007
1-481.7;OPS 2018
1-481.7;OPS 2020
1-481.X;OPS 2004
1-481.X;OPS 2017
1-482.1;OPS 2016
1-482.1;OPS 2017
1-482.1;OPS 2019
1-482.2;OPS 2014
1-482.2;OPS 2016
1-482.4;OPS 2011
1-482.4;OPS 2016
1-482.4;OPS 2019
1-482.6;OPS 2007
1-482.8;OPS 2019
1-482.8;OPS 2022
1-482.9;OPS 2019
1-482.9;OPS 2021
1-482.Y;OPS 2006
1-482.Y;OPS 2010
1-482.Y;ops_v21
1-483.6;OPS 2008
1-483.6;OPS 2010
1-483.7;OPS 2007
1-483.7;OPS 2008
1-483.7;OPS 2020
1-484.00;ICPM
1-484.4;OPS 2006
1-484.5;OPS 2006
1-484.5;OPS 2008
1-484.5;OPS 2022
1-484.6;OPS 2005
1-484.6;OPS 2017
1-484.6;OPS 2021
1-484.7;OPS 2005
1-484.9;OPS 2007
1-490.0;OPS 2009
1-490.0;OPS 2011
1-490.0;OPS 2019
1-490.1;OPS 2017
1-490.2;OPS 2013
1-490.3;OPS 2008
1-490.3;OPS 2015
1-490.3;OPS 2018
1-490.3;OPS 2019
1-490.4;OPS 2012
1-490.5;OPS 2005
1-490.5;OPS 2011
1-490.5;OPS 2014
1-490.6;OPS 2004
1-490.6;OPS 2016
1-490.6;ops_v21
1-490.7;OPS 2007
1-490.7;OPS 2011
1-490.7;OPS 2013
1-490.7;OPS 2017
1-490.7;OPS 2021
1-490.7;OPS 2022
1-490.X;OPS 2007
1-490.X;OPS 2018
1-490.X;OPS 2021
1-490.Y;OPS 2006
1-490.Y;OPS 2008
1-490.Y;OPS 2018
1-490.Y;OPS 2020
1-491.0;OPS 2005
1-491.0;OPS 2010
1-491.0;OPS 2011
1-491.0;OPS 2020
1-491.1;OPS 2013
1-491.3;OPS 2007
1-491.3;OPS 2010
1-491.3;OPS 2018
1-491.4;OPS 2012
1-491.5;OPS 2008
1-491.5;OPS 2017
1-491.5;OPS 2020
1-491.6;OPS 2010
1-491.6;OPS 2013
1-491.6;OPS 2014
1-491.6;OPS 2016
1-491.7;OPS 2011
1-491.Y;OPS 2011
1-492.0;OPS 2011
1-492.0;OPS 2013
1-492.1;OPS 2011
1-492.2;OPS 2014
1-492.4;OPS 2017
1-492.5;OPS 2015
1-492.5;OPS 2020
1-492.X;OPS 2007
1-492.X;OPS 2014
1-492.Y;OPS 2009
1-492.Y;OPS 2020
1-493.0;OPS 2013
1-493.0;OPS 2017
1-493.2;OPS 2008
1-493.2;OPS 2019
1-493.30;OPS 2006
1-493.30;OPS 2011
1-493.30;OPS 2012
1-493.30;OPS 2018
1-493.31;OPS 2006
1-493.31;OPS 2008
1-493.4;OPS 2011
1-493.5;OPS 2009
1-493.5;OPS 2011
1-493.5;OPS 2013
1-493.5;OPS 2018
1-493.6;OPS 2005
1-493.6;OPS 2007
1-493.6;OPS 2012
1-493.8;OPS 2006
1-493.8;OPS 2015
1-493.8;OPS 2021
1-493.B;OPS 2010
1-493.X;OPS 2010
1-493.Y;OPS 2005
1-494.2;OPS 2004
1-494.2;OPS 2013
1-494.2;OPS 2014
1-494.2;OPS 2020
1-494.30;OPS 2008
1-494.30;OPS 2011
1-494.30;OPS 2012
1-494.31;OPS 2009
1-494.31;OPS 2015
1-494.31;OPS 2019
1-494.32;OPS 2014
1-494.4;OPS 2007
1-494.4;OPS 2012
1-494.4;OPS 2013
1-494.4;OPS 2021
1-494.5;OPS 2010
1-494.5;OPS 2016
1-494.5;OPS 2018
1-494.6;OPS 2004
1-494.6;OPS 2008
1-494.6;OPS 2014
1-494.6;OPS 2022
1-494.7;OPS 2007
1-494.7;OPS 2008
1-494.7;OPS 2012
1-494.7;OPS 2014
1-494.7;OPS 2016
1-494.7;OPS 2018
1-494.8;OPS 2009
1-494.8;OPS 2010
1-494.8;OPS 2011
1-494.8;OPS 2014
1-494.9;OPS 2009
1-494.B;OPS 2005
1-494.B;OPS 2016
1-494.B;OPS 2017
1-494.X;OPS 2005
1-494.Y;OPS 2009
1-497.0;OPS 2014
1-497.0;OPS 2019
1-497.1;OPS 2022
1-497.2;OPS 2013
1-497.3;OPS 2007
1-497.3;OPS 2009
1-497.3;OPS 2018
1-497.3;OPS 2019
1-497.3;OPS 2022
1-497.X;OPS 2015
1-500.0;OPS 2004
1-500.0;OPS 2007
1-500.0;OPS 2008
1-500.1;OPS 2007
1-500.3;OPS 2006
1-500.4;OPS 2005
1-500.4;ops_v21
1-500.5;OPS 2006
1-500.5;OPS 2008
1-500.7;OPS 2005
1-500.X;OPS 2007
1-500.Y;OPS 2004
1-500.Y;OPS 2005
1-500.Y;OPS 2006
1-500.Y;OPS 2007
1-501;OPS 2004
1-501;OPS 2007
1-501;OPS 2008
1-501;OPS 2015
1-501;OPS 2019
1-501;OPS 2020
1-501;ops_v21
1-502.0;OPS 2012
1-502.0;OPS 2014
1-502.1;OPS 2013
1-502.1;OPS 2015
1-502.1;OPS 2021
1-502.2;OPS 2016
1-502.2;OPS 2019
1-502.3;OPS 2009
1-502.3;OPS 2011
1-502.5;OPS 2012
1-502.5;ops_v20
1-502.6;ICPM
1-502.6;OPS 2007
1-502.6;ops_v20
1-502.7;OPS 2005
1-502.7;OPS 2011
1-502.7;OPS 2016
1-502.7;OPS 2022
1-502.7;ops_v21
1-502.X;OPS 2006
1-502.X;OPS 2015
1-502.Y;OPS 2007
1-502.Y;OPS 2010
1-502.Y;OPS 2016
1-502.Y;OPS 2021
1-502.Y;OPS 2022
1-502.Y;ops_v21
1-503.0;ICPM
1-503.0;OPS 2009
1-503.0;OPS 2016
1-503.1;OPS 2008
1-503.1;OPS 2012
1-503.2;OPS 2006
1-503.2;OPS 2020
1-503.2;OPS 2022
1-503.3;OPS 2006
1-503.3;OPS 2011
1-503.3;OPS 2018
1-503.3;OPS 2021
1-503.4;OPS 2007
1-503.4;OPS 2008
1-503.4;OPS 2009
1-503.4;OPS 2016
1-503.5;OPS 2005
1-503.5;OPS 2008
1-503.5;OPS 2017
1-503.6;OPS 2014
1-503.6;OPS 2015
1-503.6;OPS 2021
1-503.7;OPS 2006
1-503.7;OPS 2008
1-503.7;OPS 2012
1-503.7;OPS 2017
1-503.7;OPS 2022
1-503.8;OPS 2018
1-503.8;OPS 2022
1-503.8;ops_v21
1-503.Y;OPS 2008
1-503.Y;OPS 2010
1-503.Y;OPS 2013
1-503.Y;OPS 2015
1-504.0;OPS 2017
1-504.0;OPS 2021
1-504.1;OPS 2020
1-504.1;ops_v21
1-504.2;OPS 2013
1-504.3;OPS 2017
1-504.5;OPS 2012
1-504.5;OPS 2014
1-504.5;OPS 2015
1-504.6;OPS 2008
1-504.7;OPS 2005
1-504.7;OPS 2014
1-504.7;OPS 2015
1-504.7;OPS 2018
1-504.7;OPS 2019
1-504.7;OPS 2022
1-504.8;OPS 2015
1-504.8;OPS 2017
1-504.8;OPS 2019
1-504.8;ops_v21
1-504.9;OPS 2010
1-504.A;OPS 2022
1-504.B;OPS 2019
1-504.X;OPS 2014
1-510.0;OPS 2015
1-510.0;OPS 2018
1-510.0;OPS 2019
1-510.1;OPS 2016
1-510.1;OPS 2019
1-510.2;OPS 2017
1-510.2;OPS 2021
1-510.2;ops_v21
1-510.3;OPS 2022
1-510.4;OPS 2007
1-510.4;OPS 2008
1-510.4;OPS 2016
1-510.5;OPS 2020
1-510.6;OPS 2022
1-510.7;OPS 2013
1-510.7;OPS 2016
1-510.7;OPS 2022
1-510.8;OPS 2016
1-510.8;ops_v20
1-510.9;OPS 2012
1-510.X;OPS 2004
1-510.X;OPS 2010
1-510.X;OPS 2020
1-510.Y;OPS 2005
1-510.Y;ops_v20
1-511.0;ICPM
1-511.00;OPS 2012
1-511.01;OPS 2012
1-511.1;OPS 2017
1-511.1;ops_v21
1-511.2;OPS 2013
1-511.2;OPS 2015
1-511.2;OPS 2017
1-511.2;OPS 2019
1-511.3;OPS 2018
1-511.3;OPS 2022
1-511.X;OPS 2013
1-511.Y;OPS 2009
1-511.Y;OPS 2020
1-511.Y;OPS 2022
1-512.1;OPS 2008
1-512.3;OPS 2010
1-512.3;OPS 2013
1-512.3;OPS 2016
1-512.X;OPS 2010
1-513.5;OPS 2008
1-513.5;ops_v21
1-513.8;OPS 2015
1-513.8;OPS 2019
1-513.8;OPS 2022
1-513.9;OPS 2005
1-513.9;OPS 2013
